Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Soil Type
Kota,May,1961-2000,40,42.1,29.3,10.3,2
Kota,June,1961-2000,40,40,29.2,62.9,2
Kota,July,1961-2000,40,34.2,26.5,257,2
Kota,August,1961-2000,40,32,25.4,245.8,2
Kota,September,1961-2000,40,33.7,25,98.5,2
Kota,October,1961-2000,40,34.3,21.8,19.6,2
Kota,November,1961-2000,40,29.9,16.3,7.8,2
Kota,December,1961-2000,40,25.3,11.9,3.5,2
Kozhikode,January,1996-2000,5,33,22.3,7.4,7
Kozhikode,February,1996-2000,5,33.5,23.1,3.3,7
Kozhikode,March,1996-2000,5,34.5,24.9,23.4,7
Kozhikode,April,1996-2000,5,34.2,25.5,73.8,7
Kozhikode,May,1996-2000,5,33.1,25.3,189.7,7
Kozhikode,June,1996-2000,5,29.8,23.6,736.4,7
Kozhikode,July,1996-2000,5,28.8,23.1,789.3,7
Kozhikode,August,1996-2000,5,29.1,23.4,395.5,7
Kozhikode,September,1996-2000,5,30.4,23.7,237.4,7
Kozhikode,October,1996-2000,5,30.8,23.5,400.9,7
Kozhikode,November,1996-2000,5,31.9,23.4,158.5,7
Kozhikode,December,1996-2000,5,32.2,22.5,119.9,7
Lucknow,January,1952-2000,49,22.5,7.3,19.1,10
Lucknow,February,1952-2000,49,25.9,9.7,17.6,10
Lucknow,March,1952-2000,49,32.1,14.5,8.7,10
Lucknow,April,1952-2000,49,38,20.4,5.8,10
Lucknow,May,1952-2000,49,40.3,24.7,18.8,10
Lucknow,June,1952-2000,49,38.6,27,103.2,10
Lucknow,July,1952-2000,49,33.8,26.1,277.4,10
Lucknow,August,1952-2000,49,32.9,25.6,284,10
Lucknow,September,1952-2000,49,33,24.3,201.4,10
Lucknow,October,1952-2000,49,32.6,19,49,10
Lucknow,November,1952-2000,49,29,12.3,8,10
Lucknow,December,1952-2000,49,24.3,8,16.4,10
Ludhiana,January,1901-1984,84,19.7,6.2,30.6,10
Ludhiana,February,1901-1984,84,22.4,8.4,34.1,10
Ludhiana,March,1901-1984,84,28.3,13.1,28.7,10
Ludhiana,April,1901-1984,84,35.2,18.8,14.9,10
Ludhiana,May,1901-1984,84,40.2,23.9,14.7,10
Ludhiana,June,1901-1984,84,40.7,27.1,52,10
Ludhiana,July,1901-1984,84,35.9,26.7,200.2,10
Ludhiana,August,1901-1984,84,34.4,25.9,174.3,10
Ludhiana,September,1901-1984,84,34.7,23.7,108.4,10
Ludhiana,October,1901-1984,84,33.3,17.6,19.8,10
Ludhiana,November,1901-1984,84,27.7,10.6,5.4,10
Ludhiana,December,1901-1984,84,21.9,6.6,15.6,10
Madurai,January,1958-2000,43,30.5,20.1,16.1,0
Madurai,February,1958-2000,43,32.9,21,8.6,0
Madurai,March,1958-2000,43,35.6,22.9,12.3,0
Madurai,April,1958-2000,43,37,25.2,47.8,0
Madurai,May,1958-2000,43,37.6,26,68.8,0
Madurai,June,1958-2000,43,36.7,25.9,42.9,0
Madurai,July,1958-2000,43,35.8,25.6,59.1,0
Madurai,August,1958-2000,43,35.6,25.2,84.9,0
Madurai,September,1958-2000,43,34.8,24.4,124.5,0
Madurai,October,1958-2000,43,32.6,23.5,172.5,0
Madurai,November,1958-2000,43,30.4,22.5,146.6,0
Madurai,December,1958-2000,43,29.6,21.1,58.5,0
Mahabaleshwar,January,1932-2000,69,25.1,13.5,1.7,10
Mahabaleshwar,February,1932-2000,69,27,14.5,1,10
Mahabaleshwar,March,1932-2000,69,29.7,17.2,6.1,10
Mahabaleshwar,April,1932-2000,69,30.9,18.7,24.6,10
Mahabaleshwar,May,1932-2000,69,29.4,18.1,58.4,10
Mahabaleshwar,June,1932-2000,69,22.4,17,874.4,10
Mahabaleshwar,July,1932-2000,69,19.4,16.6,2344.7,10
Mahabaleshwar,August,1932-2000,69,19.2,16.4,1711.4,10
Mahabaleshwar,September,1932-2000,69,21,15.9,601.9,10
Mahabaleshwar,October,1932-2000,69,24.8,16.1,150.8,10
Mahabaleshwar,November,1932-2000,69,24.7,14.8,41,10
Mahabaleshwar,December,1932-2000,69,24.3,13.7,11.2,10
Malda,January,1901-1999,78,24.3,11.3,11.9,10
Malda,February,1901-1999,78,27.3,13.4,16.1,10
Malda,March,1901-1999,78,32.8,17.7,15.1,10
Malda,April,1901-1999,78,36.3,22.2,29.6,10
Malda,May,1901-1999,78,35.7,24.4,109.6,10
Malda,June,1901-1999,78,33.8,25.8,218.9,10
Malda,July,1901-1999,78,32.2,26,307.5,10
Malda,August,1901-1999,78,32,26.1,289.4,10
Malda,September,1901-1999,78,32.1,25.8,275.9,10
Malda,October,1901-1999,78,31.3,22.9,105.6,10
Malda,November,1901-1999,78,28.7,17.3,12.1,10
Malda,December,1901-1999,78,25.4,12.6,4.4,10
Manali,January,1968-2000,32,10.6,-1.7,128.9,9
Manali,February,1968-2000,32,11.7,-0.7,124.3,9
Manali,March,1968-2000,32,16.1,2.4,189.6,9
Manali,April,1968-2000,32,21.9,5.9,103.7,9
Manali,May,1968-2000,32,24.9,8.6,82.5,9
Manali,June,1968-2000,32,27.2,12.4,74.3,9
Manali,July,1968-2000,32,25.9,15.3,217.5,9
Manali,August,1968-2000,32,25.4,14.9,205.4,9
Manali,September,1968-2000,32,25,11.2,111.9,9
Manali,October,1968-2000,32,22.4,5.4,37.9,9
Manali,November,1968-2000,32,18.4,1.5,31.7,9
Manali,December,1968-2000,32,13.8,-0.4,56.1,9
Mangalore,January,1956-2000,45,32.8,20.8,1.1,0
Mangalore,February,1956-2000,45,33,21.8,0.2,0
Mangalore,March,1956-2000,45,33.5,23.6,2.9,0
Mangalore,April,1956-2000,45,34,25,24.4,0
Mangalore,May,1956-2000,45,33.3,25.1,183.2,0
Mangalore,June,1956-2000,45,29.7,23.4,1027.2,0
Mangalore,July,1956-2000,45,28.2,22.9,1200.4,0
Mangalore,August,1956-2000,45,28.4,23,787.3,0
Mangalore,September,1956-2000,45,29.5,23.1,292.1,0
Mangalore,October,1956-2000,45,30.9,23.1,190.8,0
Mangalore,November,1956-2000,45,32.3,22.4,70.9,0
Mangalore,December,1956-2000,45,32.8,21.2,16.4,0
Masulipatnam,January,1901-2000,100,28.2,19.3,5.3,10
Masulipatnam,February,1901-2000,100,30,20.7,12.3,10
Masulipatnam,March,1901-2000,100,32.3,22.6,10.2,10
Masulipatnam,April,1901-2000,100,34.3,25.6,14.4,10
Masulipatnam,May,1901-2000,100,37,27.6,36.8,10
Masulipatnam,June,1901-2000,100,36.6,27.2,103.4,10
Masulipatnam,July,1901-2000,100,33.2,25.6,186.1,10
Masulipatnam,August,1901-2000,100,32.6,25.6,164.1,10
Masulipatnam,September,1901-2000,100,32.3,25.5,168.1,10
Masulipatnam,October,1901-2000,100,31.2,24.4,223.4,10
Masulipatnam,November,1901-2000,100,29.5,21.9,126.8,10
Masulipatnam,December,1901-2000,100,28.2,19.5,19.9,10
Minicoy,January,1901-2000,99,30.2,23.3,37.2,10
Minicoy,February,1901-2000,99,30.5,23.8,23.9,10
Minicoy,March,1901-2000,99,31.4,24.8,20.9,10
Minicoy,April,1901-2000,99,32.1,26.1,57.2,10
Minicoy,May,1901-2000,99,31.8,26.2,184.3,10
Minicoy,June,1901-2000,99,30.5,25.3,298.6,10
Minicoy,July,1901-2000,99,30.1,25,245.2,10
Minicoy,August,1901-2000,99,30,24.9,212,10
Minicoy,September,1901-2000,99,30,24.9,162.4,10
Minicoy,October,1901-2000,99,30.2,24.6,176.7,10
Minicoy,November,1901-2000,99,30.3,24.1,143.4,10
Minicoy,December,1901-2000,99,30.3,23.7,83.4,10
Mukteswar,January,1901-2000,100,10.5,1.6,54.5,9
Mukteswar,February,1901-2000,100,11.5,2.3,56.5,9
Mukteswar,March,1901-2000,100,15.9,5.8,49.7,9
Mukteswar,April,1901-2000,100,20.7,10.1,35.3,9
Mukteswar,May,1901-2000,100,23.4,12.9,58.3,9
Mukteswar,June,1901-2000,100,23.3,14.2,157.2,9
Mukteswar,July,1901-2000,100,20.9,14.2,307.4,9
Mukteswar,August,1901-2000,100,20.2,13.9,299.4,9
Mukteswar,September,1901-2000,100,20.1,12.5,202.3,9
Mukteswar,October,1901-2000,100,18.9,9.5,60.9,9
Mukteswar,November,1901-2000,100,15.8,5.9,8.8,9
Mukteswar,December,1901-2000,100,12.8,3.4,23.1,9
Mumbai,January,1951-2000,50,30.7,16.7,15.1,1
Mumbai,February,1951-2000,50,31.2,17.7,1,1
Mumbai,March,1951-2000,50,32.7,20.8,0.1,1
Mumbai,April,1951-2000,50,33,23.8,0.5,1
Mumbai,May,1951-2000,50,33.3,26.4,20.6,1
Mumbai,June,1951-2000,50,32.1,26.2,504.2,1
Mumbai,July,1951-2000,50,30,25.1,819.4,1
Mumbai,August,1951-2000,50,29.6,24.8,546.8,1
Mumbai,September,1951-2000,50,30.3,24.3,325.2,1
Mumbai,October,1951-2000,50,33.1,23.4,81.1,1
Mumbai,November,1951-2000,50,33.5,20.8,113.2,1
Mumbai,December,1951-2000,50,32.1,18.3,4.1,1
Mysore,January,1901-2000,100,28.6,16.2,4.8,0
Mysore,February,1901-2000,100,31.1,17.9,5.1,0
Mysore,March,1901-2000,100,33.6,19.9,11.6,0
Mysore,April,1901-2000,100,34.3,21.2,62.4,0
Mysore,May,1901-2000,100,32.9,21,145.7,0
Mysore,June,1901-2000,100,29.2,20.1,67.3,0
Mysore,July,1901-2000,100,27.7,19.6,74.3,0
Mysore,August,1901-2000,100,28,19.5,78.6,0
Mysore,September,1901-2000,100,28.9,19.3,117.6,0
Mysore,October,1901-2000,100,28.8,19.5,158.7,0
Mysore,November,1901-2000,100,27.9,18.2,63.8,0
Mysore,December,1901-2000,100,27.5,16.5,14.3,0
Nagpur,January,1901-2000,100,28.7,13.1,12.5,7
Nagpur,February,1901-2000,100,31.4,15.1,20.7,7
Nagpur,March,1901-2000,100,36.1,19.2,17.6,7
Nagpur,April,1901-2000,100,40.1,24,14.3,7
Nagpur,May,1901-2000,100,42.5,28,19.2,7
Nagpur,June,1901-2000,100,37.7,26.4,190.1,7
Nagpur,July,1901-2000,100,31.2,24,341.7,7
Nagpur,August,1901-2000,100,30.5,23.6,280.5,7
Nagpur,September,1901-2000,100,31.7,23.1,183.1,7
Nagpur,October,1901-2000,100,32.6,20,56.8,7
Nagpur,November,1901-2000,100,30.2,15.3,16.6,7
Nagpur,December,1901-2000,100,28.1,12.1,13.2,7
Nainital,January,1953-1979,27,10.7,1.7,80.3,9
Nainital,February,1953-1979,27,12.3,3.5,60.4,9
Nainital,March,1953-1979,27,16.3,7.5,55.7,9
Nainital,April,1953-1979,27,20.8,11.9,33.7,9
Nainital,May,1953-1979,27,23.5,14.6,73.8,9
Nainital,June,1953-1979,27,23.5,16.4,327.5,9
Nainital,July,1953-1979,27,21.6,16.5,725,9
Nainital,August,1953-1979,27,21,16,553.4,9
Nainital,September,1953-1979,27,20.7,14.1,385,9
Nainital,October,1953-1979,27,18.7,9.7,135.4,9
Nainital,November,1953-1979,27,15.4,5.7,7.9,9
Nainital,December,1953-1979,27,12.9,3.1,27.6,9
Nasik,January,1949-1990,36,29.9,10.8,1.3,7
Nasik,February,1949-1990,36,31.8,12,0.6,7
Nasik,March,1949-1990,36,35.2,15.1,5.1,7
Nasik,April,1949-1990,36,37.2,19.4,8,7
Nasik,May,1949-1990,36,37.2,21.4,18.5,7
Nasik,June,1949-1990,36,32.5,22.4,100.8,7
Nasik,July,1949-1990,36,28,22.2,201.7,7
Nasik,August,1949-1990,36,27.3,21.3,136.7,7
Nasik,September,1949-1990,36,28.8,20.9,145,7
Nasik,October,1949-1990,36,31.7,18.5,56.9,7
Nasik,November,1949-1990,36,31,13.6,24.1,7
Nasik,December,1949-1990,36,30.1,11.6,6.6,7
Palam,January,1956-2000,45,20.8,6.7,18.9,10
Palam,February,1956-2000,45,23.9,9.1,16.6,10
Palam,March,1956-2000,45,30,14.1,10.8,10
Palam,April,1956-2000,45,36.9,20.5,30.4,10
Palam,May,1956-2000,45,40.5,25.1,29,10
Palam,June,1956-2000,45,40.3,27.6,54.3,10
Palam,July,1956-2000,45,35.4,26.4,216.8,10
Palam,August,1956-2000,45,33.7,25.6,247.6,10
Palam,September,1956-2000,45,34.2,23.8,133.8,10
Palam,October,1956-2000,45,33.3,18.8,15.4,10
Palam,November,1956-2000,45,28.3,12.7,6.6,10
Palam,December,1956-2000,45,22.7,7.8,15.2,10
New Delhi (SFD),January,1901-2000,100,20.8,7.8,20.9,10
New Delhi (SFD),February,1901-2000,100,23.7,10.3,21,10
New Delhi (SFD),March,1901-2000,100,29.6,15.4,14.5,10
New Delhi (SFD),April,1901-2000,100,36,21.5,10.7,10
New Delhi (SFD),May,1901-2000,100,39.8,26.2,14.1,10
New Delhi (SFD),June,1901-2000,100,39.4,28.3,66.3,10
New Delhi (SFD),July,1901-2000,100,35.2,27,198.4,10
New Delhi (SFD),August,1901-2000,100,33.6,26.2,206.5,10
New Delhi (SFD),September,1901-2000,100,34,24.7,130.3,10
New Delhi (SFD),October,1901-2000,100,32.9,19.4,20.8,10
New Delhi (SFD),November,1901-2000,100,28,12.8,3.9,10
New Delhi (SFD),December,1901-2000,100,22.7,8.4,8.8,10
Palakkad,January,1943-2000,58,33,21.8,3.5,1
Palakkad,February,1943-2000,58,35.4,22.6,6.7,1
Palakkad,March,1943-2000,58,37.3,24.2,20.4,1
Palakkad,April,1943-2000,58,36.5,25.1,72.9,1
Palakkad,May,1943-2000,58,34,24.8,151.7,1
Palakkad,June,1943-2000,58,29.7,23.2,408.2,1
Palakkad,July,1943-2000,58,28.3,22.5,522.6,1
Palakkad,August,1943-2000,58,28.8,22.9,317.6,1
Palakkad,September,1943-2000,58,30.3,23,253.9,1
Palakkad,October,1943-2000,58,31.2,23.2,215.2,1
Palakkad,November,1943-2000,58,31.8,22.9,111.1,1
Palakkad,December,1943-2000,58,31.9,22.2,27.6,1
Panjim,January,1901-2000,50,31.1,20.2,0.9,7
Panjim,February,1901-2000,50,31,20.8,0.1,7
Panjim,March,1901-2000,50,31.4,23.3,0.4,7
Panjim,April,1901-2000,50,32.3,25.5,10.2,7
Panjim,May,1901-2000,50,32.7,26.6,66.7,7
Panjim,June,1901-2000,50,30.1,25,874,7
Panjim,July,1901-2000,50,28.6,24.3,949.5,7
Panjim,August,1901-2000,50,28.6,24.2,515.9,7
Panjim,September,1901-2000,50,29.3,24.1,231,7
Panjim,October,1901-2000,50,31.1,24.1,102.6,7
Panjim,November,1901-2000,50,32.2,22.6,30.2,7
Panjim,December,1901-2000,50,31.8,21,8.8,7
Parbhani,January,1944-2000,57,30,14,6.1,7
Parbhani,February,1944-2000,57,33.1,16.2,4.2,7
Parbhani,March,1944-2000,57,37.1,20.3,11.2,7
Parbhani,April,1944-2000,57,40.2,24,7.9,7
Parbhani,May,1944-2000,57,41.7,26.4,19.1,7
Parbhani,June,1944-2000,57,36.6,24.6,148.4,7
Parbhani,July,1944-2000,57,31.8,23,237.6,7
Parbhani,August,1944-2000,57,30.7,22.5,214.7,7
Parbhani,September,1944-2000,57,31.5,22.2,183.2,7
Parbhani,October,1944-2000,57,32.4,20,72.2,7
Parbhani,November,1944-2000,57,30.5,15.9,20.5,7
Parbhani,December,1944-2000,57,29.1,13.4,8.6,7
Pasighat,January,1957-1992,35,22.8,12.3,50.9,1
Pasighat,February,1957-1992,35,23,13.9,99,1
Pasighat,March,1957-1992,35,26,16.7,131.2,1
Pasighat,April,1957-1992,35,27.8,18.9,258.9,1
Pasighat,May,1957-1992,35,29.3,21.2,385.4,1
Pasighat,June,1957-1992,35,30.7,23.2,804.5,1
Pasighat,July,1957-1992,35,30.4,23.5,1053.9,1
Pasighat,August,1957-1992,35,31.5,23.8,755,1
Pasighat,September,1957-1992,35,30.5,23,587.1,1
Pasighat,October,1957-1992,35,29.4,20.6,244.2,1
Pasighat,November,1957-1992,35,27.2,16.6,33.2,1
Pasighat,December,1957-1992,35,24.1,13.3,28,1
Patna,January,1951-2000,50,23,9.3,20.4,10
Patna,February,1951-2000,50,26.1,11.6,11.1,10
Patna,March,1951-2000,50,32.4,16.4,11.4,10
Patna,April,1951-2000,50,37.4,22.1,9,10
Patna,May,1951-2000,50,38.4,25.1,35.6,10
Patna,June,1951-2000,50,36.7,26.7,141,10
Patna,July,1951-2000,50,32.9,26.1,319.2,10
Patna,August,1951-2000,50,32.5,26.1,279.3,10
Patna,September,1951-2000,50,32.2,25.3,212.6,10
Patna,October,1951-2000,50,31.7,21.6,72.3,10
Patna,November,1951-2000,50,28.9,14.8,8.2,10
Patna,December,1951-2000,50,24.6,10.1,7.4,10
Pondicherry,January,1996-2000,5,29.6,20.3,14.8,10
Pondicherry,February,1996-2000,5,30.7,21.5,47.7,10
Pondicherry,March,1996-2000,5,32.2,23,0,10
Pondicherry,April,1996-2000,5,34,25.8,37.3,10
Pondicherry,May,1996-2000,5,36.8,26.9,29.7,10
Pondicherry,June,1996-2000,5,36.6,26.4,79.6,10
Pondicherry,July,1996-2000,5,35.6,26,61,10
Pondicherry,August,1996-2000,5,34.5,25.1,148.2,10
Pondicherry,September,1996-2000,5,34,24.8,149.6,10
Pondicherry,October,1996-2000,5,32,24,278.3,10
Pondicherry,November,1996-2000,5,30.4,22.9,379.5,10
Pondicherry,December,1996-2000,5,29.1,21.4,502.3,10
Port Blair,January,1901-2000,97,29.4,23.1,46.4,
Port Blair,February,1901-2000,97,30.2,22.5,26.5,
Port Blair,March,1901-2000,97,31.5,23.2,29.3,
Port Blair,April,1901-2000,97,32.5,24.7,69,
Port Blair,May,1901-2000,97,31.1,24.7,360.4,
Port Blair,June,1901-2000,97,29.6,24.4,501.1,
Port Blair,July,1901-2000,97,29.2,24.3,423.7,
Port Blair,August,1901-2000,97,29.1,24.2,425.1,
Port Blair,September,1901-2000,97,29.1,23.7,463,
Port Blair,October,1901-2000,97,29.6,23.7,300.7,
Port Blair,November,1901-2000,97,29.7,23.9,235,
Port Blair,December,1901-2000,97,29.4,23.6,154.6,
Pune,January,1901-2000,100,30.2,11.6,1.6,7
Pune,February,1901-2000,100,32.3,12.7,1.1,7
Pune,March,1901-2000,100,35.8,16.3,2.7,7
Pune,April,1901-2000,100,37.9,20.1,13.6,7
Pune,May,1901-2000,100,37.2,22.3,33.3,7
Pune,June,1901-2000,100,32,22.8,120.4,7
Pune,July,1901-2000,100,28.1,22,179,7
Pune,August,1901-2000,100,27.6,21.3,106.4,7
Pune,September,1901-2000,100,29.2,20.6,129.1,7
Pune,October,1901-2000,100,31.7,18.9,78.8,7
Pune,November,1901-2000,100,30.5,14.8,28.6,7
Pune,December,1901-2000,100,29.3,11.8,5.3,7
Raipur,January,1901-1998,97,27.6,13.3,11.7,2
Raipur,February,1901-1998,97,30.3,15.9,21,2
Raipur,March,1901-1998,97,35.1,20.2,19.6,2
Raipur,April,1901-1998,97,39.4,24.8,15.5,2
Raipur,May,1901-1998,97,41.9,28,22.9,2
Raipur,June,1901-1998,97,37.2,26.4,209.4,2
Raipur,July,1901-1998,97,30.6,23.9,369.1,2
Raipur,August,1901-1998,97,30.1,23.8,365.4,2
Raipur,September,1901-1998,97,31.3,23.8,216.6,2
Raipur,October,1901-1998,97,31.6,21.2,52.1,2
Raipur,November,1901-1998,97,29.3,16.1,11.4,2
Raipur,December,1901-1998,97,27.1,12.7,4.2,2
Rajkot,January,1905-2000,49,28.2,11.8,1,7
Rajkot,February,1905-2000,49,30.8,13.8,1,7
Rajkot,March,1905-2000,49,35.2,18,1,7
Rajkot,April,1905-2000,49,38.6,21.7,1.6,7
Rajkot,May,1905-2000,49,40.3,24.8,3.9,7
Rajkot,June,1905-2000,49,37.6,26.1,98.9,7
Rajkot,July,1905-2000,49,32.9,25.1,242.5,7
Rajkot,August,1905-2000,49,31.5,24.1,174.3,7
Rajkot,September,1905-2000,49,33.2,23.1,101,7
Rajkot,October,1905-2000,49,35.5,21.5,53.2,7
Rajkot,November,1905-2000,49,32.9,17.6,10,7
Rajkot,December,1905-2000,49,29.6,13.6,0.8,7
Ranchi,January,1951-2000,40,23,10,20.5,2
Ranchi,February,1951-2000,40,25.8,12.6,25.7,2
Ranchi,March,1951-2000,40,31.2,17,18.9,2
Ranchi,April,1951-2000,40,35.5,21.4,41.2,2
Ranchi,May,1951-2000,40,37.2,23.6,58.5,2
Ranchi,June,1951-2000,40,33.5,23.7,216.3,2
Ranchi,July,1951-2000,40,29.3,22.7,337.9,2
Ranchi,August,1951-2000,40,28.8,22.5,326.8,2
Ranchi,September,1951-2000,40,29.1,21.8,273.2,2
Ranchi,October,1951-2000,40,28.5,19,99.7,2
Ranchi,November,1951-2000,40,25.9,14,16,2
Ranchi,December,1951-2000,40,23.2,10.2,6.1,2
Sambalpur,January,1901-2000,95,27.6,12.6,14.2,0
Sambalpur,February,1901-2000,95,30.1,15.1,28,0
Sambalpur,March,1901-2000,95,35,19,20.9,0
Sambalpur,April,1901-2000,95,39.3,23.5,14.2,0
Sambalpur,May,1901-2000,95,41.4,27,22.7,0
Sambalpur,June,1901-2000,95,36.9,26.7,218.9,0
Sambalpur,July,1901-2000,95,31.1,24.9,459,0
Sambalpur,August,1901-2000,95,30.7,24.8,487.5,0
Sambalpur,September,1901-2000,95,31.7,24.6,243.5,0
Sambalpur,October,1901-2000,95,31.7,21.8,56.6,0
Sambalpur,November,1901-2000,95,29.4,16.2,17.6,0
Sambalpur,December,1901-2000,95,27.2,12.1,4.8,0
Shillong,January,1902-2000,99,15.3,4.4,13.7,3
Shillong,February,1902-2000,99,17,6.4,22.7,3
Shillong,March,1902-2000,99,21.3,10.6,53.7,3
Shillong,April,1902-2000,99,23.4,13.8,130.1,3
Shillong,May,1902-2000,99,23.5,15.3,273.7,3
Shillong,June,1902-2000,99,23.7,17.3,468.8,3
Shillong,July,1902-2000,99,24,18,394.5,3
Shillong,August,1902-2000,99,24,17.7,317.5,3
Shillong,September,1902-2000,99,23.4,16.5,293.8,3
Shillong,October,1902-2000,99,21.7,13.2,192.4,3
Shillong,November,1902-2000,99,19,8.7,37.3,3
Shillong,December,1902-2000,99,16.3,5.3,9.3,3
Shimla,January,1901-1992,90,8.6,1.9,57.9,9
Shimla,February,1901-1992,90,9.7,2.7,64.2,9
Shimla,March,1901-1992,90,13.9,6.5,62.1,9
Shimla,April,1901-1992,90,18.9,10.9,46.1,9
Shimla,May,1901-1992,90,22.7,14.4,62.8,9
Shimla,June,1901-1992,90,23.7,15.8,161.1,9
Shimla,July,1901-1992,90,20.9,15.3,419,9
Shimla,August,1901-1992,90,19.8,14.9,385.9,9
Shimla,September,1901-1992,90,19.6,13.5,206.5,9
Shimla,October,1901-1992,90,17.9,10.7,38.5,9
Shimla,November,1901-1992,90,14.1,7,12,9
Shimla,December,1901-1992,90,11.1,4.1,23.2,9
Silchar,January,1901-2000,89,24.9,11.7,18,10
Silchar,February,1901-2000,89,26.7,13.5,47.6,10
Silchar,March,1901-2000,89,30,17.4,152.6,10
Silchar,April,1901-2000,89,30.8,20.7,328.8,10
Silchar,May,1901-2000,89,31.1,22.8,430.5,10
Silchar,June,1901-2000,89,31.3,24.5,588.3,10
Silchar,July,1901-2000,89,31.7,25,531.3,10
Silchar,August,1901-2000,89,31.7,24.9,480.7,10
Silchar,September,1901-2000,89,31.6,24.6,383.8,10
Silchar,October,1901-2000,89,30.9,22.5,204.4,10
Silchar,November,1901-2000,89,28.9,17.7,42,10
Silchar,December,1901-2000,89,26.1,13,10,10
Solapur,January,1901-2000,100,30.8,15.8,4.7,7
Solapur,February,1901-2000,100,33.6,17.6,4.4,7
Solapur,March,1901-2000,100,37.3,21.2,5,7
Solapur,April,1901-2000,100,39.6,24.3,12.4,7
Solapur,May,1901-2000,100,40.2,25.1,27.6,7
Solapur,June,1901-2000,100,35,23.3,116.9,7
Solapur,July,1901-2000,100,31.7,22.3,129.9,7
Solapur,August,1901-2000,100,31.3,21.8,119.8,7
Solapur,September,1901-2000,100,31.7,21.6,182.4,7
Solapur,October,1901-2000,100,32.6,20.7,85.4,7
Solapur,November,1901-2000,100,31,17.6,26.4,7
Solapur,December,1901-2000,100,29.9,15.2,7.8,7
Sri Niketan,January,1961-2000,39,25,11.8,11.6,
Sri Niketan,February,1961-2000,39,28.3,14.5,23.5,
Sri Niketan,March,1961-2000,39,33.8,19.2,28.4,
Sri Niketan,April,1961-2000,39,37.4,23.4,44.9,
Sri Niketan,May,1961-2000,39,37.3,25,98.4,
Sri Niketan,June,1961-2000,39,35.1,26,242.8,
Sri Niketan,July,1961-2000,39,32.6,25.8,317.2,
Sri Niketan,August,1961-2000,39,32.2,25.8,276.5,
Sri Niketan,September,1961-2000,39,32.2,25.3,253.3,
Sri Niketan,October,1961-2000,39,31.5,22.6,97.2,
Sri Niketan,November,1961-2000,39,29.3,17.2,17.2,
Sri Niketan,December,1961-2000,39,26,12.6,8.6,
Srinagar,January,1901-2000,98,5,-2.3,62.2,4
Srinagar,February,1901-2000,98,7.6,-0.8,71.4,4
Srinagar,March,1901-2000,98,13.5,3.4,101.1,4
Srinagar,April,1901-2000,98,19.3,7.4,90.7,4
Srinagar,May,1901-2000,98,24.2,10.9,68.2,4
Srinagar,June,1901-2000,98,28.9,14.5,36.3,4
Srinagar,July,1901-2000,98,30.3,18.2,54.3,4
Srinagar,August,1901-2000,98,29.7,17.7,64.6,4
Srinagar,September,1901-2000,98,27.6,12.5,35.4,4
Srinagar,October,1901-2000,98,22.1,5.6,30.9,4
Srinagar,November,1901-2000,98,15.4,0.3,19.7,4
Srinagar,December,1901-2000,98,8.5,-2,41.4,4
Surat,January,1901-2000,99,30.9,14.7,2.1,7
Surat,February,1901-2000,99,32.4,16.2,1,7
Surat,March,1901-2000,99,35.8,20.1,0.8,7
Surat,April,1901-2000,99,37.2,23.6,2.2,7
Surat,May,1901-2000,99,36.2,26.3,6.4,7
Surat,June,1901-2000,99,33.8,26.7,212.8,7
Surat,July,1901-2000,99,30.8,25.5,440.8,7
Surat,August,1901-2000,99,30.4,25.1,233.4,7
Surat,September,1901-2000,99,31.8,24.6,169.7,7
Surat,October,1901-2000,99,35.3,23,33.5,7
Surat,November,1901-2000,99,34.3,19.2,12.4,7
Surat,December,1901-2000,99,32,15.9,2.1,7
Thiruvananthapuram,January,1901-2000,100,30.7,22.4,22.9,1
Thiruvananthapuram,February,1901-2000,100,31.2,23,21.9,1
Thiruvananthapuram,March,1901-2000,100,32.1,24.4,36.4,1
Thiruvananthapuram,April,1901-2000,100,32.1,25.3,110.5,1
Thiruvananthapuram,May,1901-2000,100,31.3,25.2,210,1
Thiruvananthapuram,June,1901-2000,100,29.3,23.9,343.5,1
Thiruvananthapuram,July,1901-2000,100,28.8,23.4,218.6,1
Thiruvananthapuram,August,1901-2000,100,29,23.5,143.2,1
Thiruvananthapuram,September,1901-2000,100,29.6,23.6,152.5,1
Thiruvananthapuram,October,1901-2000,100,29.5,23.6,267.9,1
Thiruvananthapuram,November,1901-2000,100,29.6,23.3,199,1
Thiruvananthapuram,December,1901-2000,100,30.3,22.8,70.2,1
Tirupathy,January,1981-2000,20,29.9,18.7,22,8
Tirupathy,February,1981-2000,20,32.8,20.1,19.7,8
Tirupathy,March,1981-2000,20,36.7,22.6,2.9,8
Tirupathy,April,1981-2000,20,39.3,26.2,13.9,8
Tirupathy,May,1981-2000,20,40.3,27.9,45.7,8
Tirupathy,June,1981-2000,20,37.8,27.2,69.7,8
Tirupathy,July,1981-2000,20,35.7,25.9,113,8
Tirupathy,August,1981-2000,20,34.8,25.5,118.6,8
Tirupathy,September,1981-2000,20,34.8,25.1,119.1,8
Tirupathy,October,1981-2000,20,32.7,23.5,157.5,8
